ID;Number;Nationwide number;Name;Original name;Sex;Year of birth;Nationality;Military/Civilian;Selection;Year of Selection;mission number;total number of missions;Occupation;Year of mission;Mission title;Ascend shuttle;In orbit;Descend shuttle;Hours/mission;Total hrs (sum);Field21;EVA hrs/mission;Total EVA hrs
615;270;170;Duffy, Brian;Duffy, Brian;M;1953;U.S.;Mil;NASA- 11;1985;1;4;pilot;1992;STS-45;STS-45;STS-45;STS-45;214;976;0;0;0
616;270;170;Duffy, Brian;Duffy, Brian;M;1953;U.S.;Mil;NASA- 11;1985;2;4;pilot;1993;STS-57;STS-57;STS-57;STS-57;240;976;0;0;0
617;270;170;Duffy, Brian;Duffy, Brian;M;1953;U.S.;Mil;NASA- 11;1985;3;4;commander;1996;STS-72;STS-72;STS-72;STS-72;214;976;0;0;0
618;270;170;Duffy, Brian;Duffy, Brian;M;1953;U.S.;Mil;NASA- 11;1985;4;4;commander;2000;STS-92;STS-92;STS-92;STS-92;310;976;0;0;0
619;271;171;Foale, C. Michael;Foale, C. Michael;M;1957;U.S.;Civ;NASA- 12;1987;1;6;MSP;1992;STS-45;STS-45;STS-45;STS-45;214;8976;0;0;22,73
620;271;171;Foale, C. Michael;Foale, C. Michael;M;1957;U.S.;Civ;NASA- 12;1987;2;6;MSP;1993;STS-56;STS-56;STS-56;STS-56;222;8976;0;0;22,73
621;271;171;Foale, C. Michael;Foale, C. Michael;M;1957;U.S.;Civ;NASA- 12;1987;3;6;MSP;1995;STS-63;STS-63;STS-63;STS-63;198,5;8976;1;4,65;22,73
622;271;171;Foale, C. Michael;Foale, C. Michael;M;1957;U.S.;Civ;NASA- 12;1987;4;6;MSP;1997;23;STS-84;Mir;STS-86;3470;8976;1;7;22,73
623;271;171;Foale, C. Michael;Foale, C. Michael;M;1957;U.S.;Civ;NASA- 12;1987;5;6;MSP;1999;STS-103;STS-103;STS-103;STS-103;191;8976;1;8,17;22,73
624;271;171;Foale, C. Michael;Foale, C. Michael;M;1957;U.S.;Civ;NASA- 12;1987;6;6;commander;2003;8;Soyuz TMA-3;ISS;Soyuz TMA-3;4674,5;8976;1;3,92;22,73
625;272;1;Frimout, David;Frimout, Dirk Dries david;M;1941;Belgium;Civ;ATLAS-1;1985;1;1;PSP;1992;STS-45;STS-45;STS-45;STS-45;214,15;214,15;0;0;0
626;273;172;Chilton, Kevin P.;Chilton, Kevin P.;M;1954;U.S.;Mil;NASA- 12;1987;1;3;pilot;1992;STS-49;STS-49;STS-49;STS-49;213;704;0;0;0
627;273;172;Chilton, Kevin P.;Chilton, Kevin P.;M;1954;U.S.;Mil;NASA- 12;1987;2;3;pilot;1994;STS-59;STS-59;STS-59;STS-59;270;704;0;0;0
628;273;172;Chilton, Kevin P.;Chilton, Kevin P.;M;1954;U.S.;Mil;NASA- 12;1987;3;3;commander;1996;STS-76;STS-76;STS-76;STS-76;221;704;0;0;0
629;274;173;Bowersox, Kenneth D.;Bowersox, Kenneth D.;M;1956;U.S.;Mil;NASA- 12;1987;1;5;pilot;1992;STS-50;STS-50;STS-50;STS-50;331;5304;0;0;13,28
630;274;173;Bowersox, Kenneth D.;Bowersox, Kenneth D.;M;1956;U.S.;Mil;NASA- 12;1987;2;5;pilot;1993;STS-61;STS-61;STS-61;STS-61;260;5304;0;0;13,28
631;274;173;Bowersox, Kenneth D.;Bowersox, Kenneth D.;M;1956;U.S.;Mil;NASA- 12;1987;3;5;commander;1995;STS-73;STS-73;STS-73;STS-73;382;5304;0;0;13,28
632;274;173;Bowersox, Kenneth D.;Bowersox, Kenneth D.;M;1956;U.S.;Mil;NASA- 12;1987;4;5;commander;1997;STS-82;STS-82;STS-82;STS-82;239;5304;0;0;13,28
633;274;173;Bowersox, Kenneth D.;Bowersox, Kenneth D.;M;1956;U.S.;Mil;NASA- 12;1987;5;5;commander;2002;6;STS-113;ISS;Soyuz TMA-1;3865;5304;2;13,28;13,28
634;275;174;DeLucas, Lawrence James;DeLucas, Lawrence James;M;1950;U.S.;Civ;United States Microgravity Labratory-1;1990;1;1;PSP;1992;STS-50;STS-50;STS-50;STS-50;331,53;331,53;0;0;0
635;276;175;Trinh, Eugene Huu-Chau;Trinh, Eugene Huu-Chau;M;1950;U.S.;Civ;Spacelab-3;1983;1;1;PSP;1992;STS-50;STS-50;STS-50;STS-50;331,53;331,53;0;0;0
636;277;74;Avdeyev, Sergei;Сергей Васильевич Авдеев;M;1956;U.S.S.R/Russia;Civ;NPOE-8;1987;1;3;flight engineer;1993;12;Soyuz TM;Mir;Soyuz TM;4533;17942,23;4;18,35;41
637;277;74;Avdeyev, Sergei;Сергей Васильевич Авдеев;M;1956;U.S.S.R/Russia;Civ;NPOE-8;1987;2;3;flight engineer;1995;20;Soyuz TM;Mir;Soyuz TM;4297;17942,23;1;5,27;41
638;277;74;Avdeyev, Sergei;Сергей Васильевич Авдеев;M;1956;U.S.S.R/Russia;Civ;NPOE-8;1987;3;3;flight engineer;1998;26;Soyuz TM28;Mir;Soyuz TM29;9110;17942,23;3;17,38;41
639;278;3;Tognini, Michel;Tognini, Michel;M;1949;France;Mil;CNES-2/EAC;1985;1;2;MSP;1992;Antares;Soyuz TM-15;Soyuz TM-15;Soyuz TM-14;331;449,77;0;0;0
640;278;3;Tognini, Michel;Tognini, Michel;M;1949;France;Mil;CNES-2/EAC;1985;2;2;MSP;1999;STS-93;STS-93;STS-93;STS-93;118,8;449,77;0;0;0
641;279;176;Allen, Andrew M.;Allen, Andrew M.;M;1955;U.S.;Mil;NASA- 12;1987;1;3;pilot;1992;STS-46;STS-46;STS-46;STS-46;191;904;0;0;0
642;279;176;Allen, Andrew M.;Allen, Andrew M.;M;1955;U.S.;Mil;NASA- 12;1987;2;3;pilot;1994;STS-62;STS-62;STS-62;STS-62;335;904;0;0;0
643;279;176;Allen, Andrew M.;Allen, Andrew M.;M;1955;U.S.;Mil;NASA- 12;1987;3;3;commander;1996;STS-75;STS-75;STS-75;STS-75;378;904;0;0;0
644;280;1;Nicollier, Claude;Nicollier, Claude;M;1944;Switzerland;Civ;1978 ESA Group;1978;1;4;PSP;1992;STS-46;STS-46;STS-46;STS-46;191,25;1184,07;0;0;8,16
645;280;1;Nicollier, Claude;Nicollier, Claude;M;1944;Switzerland;Civ;1978 ESA Group;1978;2;4;PSP;1993;STS-61-A;STS-61-A;STS-61-A;STS-61-A;259,97;1184,07;0;0;8,16
646;280;1;Nicollier, Claude;Nicollier, Claude;M;1944;Switzerland;Civ;1978 ESA Group;1978;3;4;MSP;1996;STS-75;STS-75;STS-75;STS-75;541,67;1184,07;0;0;8,16
647;280;1;Nicollier, Claude;Nicollier, Claude;M;1944;Switzerland;Civ;1978 ESA Group;1978;4;4;MSP;1999;STS-103;STS-103;STS-103;STS-103;191,18;1184,07;1;8,16;8,16
648;281;1;Franco Malerba;Franco Malerba;M;1946;Italy;Civ;1989 ESA Group;1998;1;1;PSP;1992;sts-46;STS-46;STS-46;STS-46;191,25;191,25;0;0;0
649;282;177;Brown, Curtis L., Jr.;Brown, Curtis L., Jr.;M;1956;U.S.;Mil;NASA- 12;1987;1;6;pilot;1992;STS-47;STS-47;STS-47;STS-47;190,5;1381;0;0;0
